analysis,target,feature_set,validation,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_train,n_test,mean_baseline_MAE,MAE_improvement_vs_mean_baseline,MAE_improvement_pct,scenario_A_best_mean_baseline_MAE
Scenario B: New-patient generalisation,total_UPDRS,D1_PCA_jitter_shimmer_demo_time,GroupKFold_5,MeanBaseline,8.811115016674156,1.411994532118614,10.789242682708343,1.5329338121846188,-0.11597624514398341,0.11864729970876373,4700.0,1175.0,8.811115016674156,0.0,0.0,
Scenario B: New-patient generalisation,total_UPDRS,D1_PCA_jitter_shimmer_demo_time,GroupKFold_5,RandomForest_PCA,11.37071854663086,1.8023326135301005,13.74319750011199,1.9626680017034062,-1.030575070250077,1.1275140179620278,4700.0,1175.0,8.811115016674156,-2.5596035299567035,-29.049711927638093,
Scenario B: New-patient generalisation,total_UPDRS,D1_PCA_jitter_shimmer_demo_time,GroupKFold_5,Ridge_Robust_PCA,9.050423242636297,0.9318775624487937,11.009786502656935,1.0816889052434275,-0.20494910916434814,0.348800933538167,4700.0,1175.0,8.811115016674156,-0.23930822596214085,-2.7159811840984247,
Scenario B: New-patient generalisation,motor_UPDRS,D1_PCA_jitter_shimmer_demo_time,GroupKFold_5,ElasticNet_Robust_PCA,7.317327638339951,0.9049379906832062,8.609113207627026,0.581753204757696,-0.29372602581697327,0.4133413334424802,4700.0,1175.0,7.130752073502987,-0.18657556483696425,-2.6164921022882917,
Scenario B: New-patient generalisation,motor_UPDRS,D1_PCA_jitter_shimmer_demo_time,GroupKFold_5,MeanBaseline,7.130752073502987,1.0725153007931243,8.277694825328307,0.6418555534573132,-0.16756414082797635,0.20972403193678205,4700.0,1175.0,7.130752073502987,0.0,0.0,
Scenario B: New-patient generalisation,motor_UPDRS,D1_PCA_jitter_shimmer_demo_time,GroupKFold_5,RandomForest_PCA,8.056507909538498,0.9561611900469561,9.936256332278893,1.258481178188112,-0.7477029455196729,0.7178959735921888,4700.0,1175.0,7.130752073502987,-0.9257558360355107,-12.982583414665438,
Scenario B: New-patient generalisation,motor_UPDRS,D1_PCA_jitter_shimmer_demo_time,GroupKFold_5,Ridge_Robust_PCA,7.344575121279396,0.8923895828434903,8.648682289354516,0.5919403771271694,-0.3073776163275783,0.42677772757780386,4700.0,1175.0,7.130752073502987,-0.21382304777640915,-2.9986044329173884,
Supplementary: Dataset 2 PD-only row-level,UPDRS_score,D2_full26,GroupKFold_5,ElasticNet_Robust,15.629350927399335,4.290510375901888,18.26238613839383,4.383222035750132,-1.8151795234345152,1.5969211805583112,416.0,104.0,13.46875,-2.1606009273993347,-16.041584611781605,
Supplementary: Dataset 2 PD-only row-level,UPDRS_score,D2_full26,GroupKFold_5,MeanBaseline,13.46875,4.1965852934260734,15.599862008182399,4.4044445344542895,-1.0671718580106657,1.3343638410488068,416.0,104.0,13.46875,0.0,0.0,
Supplementary: Dataset 2 PD-only row-level,UPDRS_score,D2_full26,GroupKFold_5,RandomForest,15.34410516798017,4.795681781763052,18.170220753667415,4.838254963383,-1.8165932468014205,1.7160939342130457,416.0,104.0,13.46875,-1.8753551679801692,-13.923750667138147,
Supplementary: Dataset 2 PD-only row-level,UPDRS_score,D2_full26,GroupKFold_5,Ridge_Robust,15.816331837622045,4.162412215568831,18.520478767162825,4.241500036009849,-1.8858131548202515,1.5815390351703906,416.0,104.0,13.46875,-2.3475818376220445,-17.42984194986205,
Supplementary: Dataset 2 subject-level aggregation,UPDRS_score,D2_full26_mean_std_median,LeaveOneOut_subject_level,ElasticNet_Robust,23.067692014888145,18.673982642141976,29.38367167708629,,-2.9824730683893126,,19.0,1.0,12.947368421052634,-10.120323593835511,-78.16510092799784,
Supplementary: Dataset 2 subject-level aggregation,UPDRS_score,D2_full26_mean_std_median,LeaveOneOut_subject_level,MeanBaseline,12.947368421052634,8.741146354890128,15.499084058362916,,-0.10803324099723,,19.0,1.0,12.947368421052634,0.0,0.0,
Supplementary: Dataset 2 subject-level aggregation,UPDRS_score,D2_full26_mean_std_median,LeaveOneOut_subject_level,RandomForest,14.580134920634922,11.242589912181764,18.238869779696724,,-0.5343928544314316,,19.0,1.0,12.947368421052634,-1.6327664995822886,-12.610798167505479,
Supplementary: Dataset 2 subject-level aggregation,UPDRS_score,D2_full26_mean_std_median,LeaveOneOut_subject_level,Ridge_Robust,22.582116368131206,17.991066443742078,28.591021805066788,,-2.770509814842272,,19.0,1.0,12.947368421052634,-9.634747947078573,-74.41471991646051,
Exploratory: merged harmonised shared features,UPDRS_target,Merged_shared11_source,GroupKFold_5,ElasticNet_Robust,9.251304221622345,1.5526507967568144,11.390209347400411,1.5275183679789912,-0.13000623556134286,0.13313207000044963,5116.0,1279.0,9.116293757740454,-0.13501046388189053,-1.4809797431906577,
Exploratory: merged harmonised shared features,UPDRS_target,Merged_shared11_source,GroupKFold_5,MeanBaseline,9.116293757740454,1.3676514427683828,11.266364355890033,1.3668093501591507,-0.10813152973375542,0.13167100297038437,5116.0,1279.0,9.116293757740454,0.0,0.0,
Exploratory: merged harmonised shared features,UPDRS_target,Merged_shared11_source,GroupKFold_5,RandomForest,10.18347429466761,0.9441535686362313,12.531525982376165,1.0411763569355905,-0.37785519220178865,0.12948568956916665,5116.0,1279.0,9.116293757740454,-1.0671805369271556,-11.706298253289994,
Exploratory: merged harmonised shared features,UPDRS_target,Merged_shared11_source,GroupKFold_5,Ridge_Robust,9.258821345615711,1.5750273520213345,11.389129704982219,1.5659487995705217,-0.12928867412281403,0.13524577362813506,5116.0,1279.0,9.116293757740454,-0.1425275878752572,-1.5634378582221533,
Exploratory: merged within-source standardised features,UPDRS_target,Merged_within_source_z_source,GroupKFold_5,ElasticNet_Robust,9.247275793798046,1.4968751522584005,11.365740790507365,1.4568662614077623,-0.12525239118894654,0.11646440860945291,5116.0,1279.0,9.116293757740454,-0.13098203605759196,-1.4367904275394576,
Exploratory: merged within-source standardised features,UPDRS_target,Merged_within_source_z_source,GroupKFold_5,MeanBaseline,9.116293757740454,1.3676514427683828,11.266364355890033,1.3668093501591507,-0.10813152973375542,0.13167100297038437,5116.0,1279.0,9.116293757740454,0.0,0.0,
Exploratory: merged within-source standardised features,UPDRS_target,Merged_within_source_z_source,GroupKFold_5,RandomForest,10.123056214926862,0.9015571120616982,12.451980243105066,1.0532712238794952,-0.35947709260790794,0.1184818542010002,5116.0,1279.0,9.116293757740454,-1.006762457186408,-11.0435499770023,
Exploratory: merged within-source standardised features,UPDRS_target,Merged_within_source_z_source,GroupKFold_5,Ridge_Robust,9.259512912705825,1.4903507364194097,11.386695665249096,1.4529230855641306,-0.12952973830883555,0.11618358384461747,5116.0,1279.0,9.116293757740454,-0.14321915496537052,-1.5710239135697677,
